,Decision Tree,Random Forest,XGBoost
0,-134.67865047297292,-150.27375609488797,-134.2963627130043
1,-14.37352458783784,-4.051472909747432,-3.6956264578865143
2,-159.6538536824324,-64.19500674965543,-13.21863617939629
3,-417.1989978175676,-260.0418662400876,-187.97754185241158
4,-25.10861142857143,-2.618183523977091,-6.58262658395967
