,MSE,MAE,R2,AR2,RMSE,MBD
Decision Tree,11.51534050810811,0.5801945945945945,-42.81325921181378,-48.763207993665034,3.393426072291558,0.29126486486486486
Random Forest,2.5223330334088336,0.40488991373028815,-8.596905183433265,-9.900188603405685,1.5881854530906754,0.10985146932399953
XGBoost,0.6163969760089193,0.32442667599513725,-1.3452507086734768,-1.6637415456538256,0.7851095312177272,-0.02468543940637561
