,MSE,MAE,R2,AR2,RMSE,MBD
Decision Tree,11.670576,0.6105513513513513,-43.40389505452671,-49.43405364217848,3.416222475190982,0.2456216216216216
Random Forest,1.660585283215625,0.37633085917473336,-5.318150419053706,-6.176170846332603,1.2886369865930534,0.08510238340032726
XGBoost,0.45464149595418574,0.30982452638471447,-0.7298077895883366,-0.9647199585447772,0.6742710849162863,0.042165634036708526
