year,CR,GPM,OPM,NPM,ROA,ROE,ROIC,ARG,CAT,TAT,TLE,TLTA,TLEBITDA,IC,DR,DY,PE,PB,UKCPI,UKINT,UKGDPG,OILM,FCFFR
2021.0,1.243,37.05,7.37,4.8,4.9,10.1,7.79,7.21,3.119,1.006,0.867,0.464,3.86,28.037,29.36,0.0,9.38,0.892,2.575,0.11,8.68,64.08,0.419
2007.0,1.122,28.2,28.2,24.62,10.79,34.89,12.9,32.21,1.343,0.291,2.845,0.74,7.193,11.895,23.91,1.08,19.133,5.275,2.342,5.51,2.62,9.68,0.214
2007.0,0.839,70.5,21.22,9.38,8.22,26.52,18.09,21.23,1.74,0.749,1.456,0.593,2.829,17.875,34.74,1.01,32.887,5.673,2.342,5.51,2.62,9.68,0.115
2015.0,1.482,23.88,10.21,0.61,0.37,21.87,8.82,-0.08,1.133,0.615,3.451,0.775,8.058,19.732,0.0,0.0,9.633,2.107,0.042,0.5,2.22,-46.1,0.072
2023.0,2.044,43.21,18.23,14.14,17.87,58.51,24.88,8.82,2.253,1.264,2.419,0.708,2.895,11.779,35.93,2.91,11.954,6.994,7.383,4.68,0.1,-17.01,0.532
2009.0,2.266,33.46,33.46,21.61,0.78,13.49,3.35,-10.65,0.182,0.036,14.639,0.936,68.654,1.002,39.33,1.28,14.907,1.845,2.183,0.64,-4.62,-36.39,0.094
2011.0,0.893,18.43,5.9,1.85,2.17,21.93,4.36,1.79,4.079,1.166,2.494,0.714,4.492,9.04,187.81,5.09,11.954,2.673,4.475,0.5,1.15,37.93,0.251
2019.0,1.115,24.69,2.76,1.45,1.4,11.18,2.31,-6.82,3.527,0.98,1.931,0.659,5.521,3.187,206.62,5.7,11.016,1.257,1.792,0.75,1.64,-10.28,0.164
2019.0,0.428,9.07,9.07,-15.2,-0.84,4.49,-0.22,-9.9,3.676,0.056,0.415,0.293,6.418,0.717,-282.92,5.0,14.823,0.681,1.792,0.75,1.64,-10.28,-0.035
2020.0,0.785,43.45,16.37,11.0,8.43,45.76,13.95,-2.42,3.118,0.745,2.832,0.739,4.422,14.55,78.23,3.31,19.994,7.284,0.85,0.23,-10.36,-32.6,0.406
