,MSE,MAE,R2,AR2,RMSE,MBD
Decision Tree,10.035807308108112,0.5241081081081083,-37.183970910834624,-42.369448441935624,3.1679342335515916,0.1501837837837838
Random Forest,1.6117684650421067,0.3664435360392718,-5.132413496465411,-5.965210391047133,1.2695544356356314,0.08403836063303477
XGBoost,0.6163969760089193,0.32442667599513725,-1.3452507086734768,-1.6637415456538256,0.7851095312177272,-0.02468543940637561
